"Time (s)","Pressure (hPa)"
-5.550413334E-1,1.000715714E3
4.720096666E-1,1.000716553E3
1.499066667E0,1.000717010E3
2.526104667E0,1.000717468E3
3.553161667E0,1.000721893E3
3.753234667E0,1.000724106E3
4.813373667E0,1.000724411E3
5.873533667E0,1.000725250E3
6.933702667E0,1.000727463E3
7.993891667E0,1.000727921E3
9.054072667E0,1.000728226E3
1.011421267E1,1.000728531E3
1.117435867E1,1.000729752E3
1.223447367E1,1.000730362E3
1.329459967E1,1.000731964E3
1.435473467E1,1.000733261E3
1.541483067E1,1.000733643E3
1.647492467E1,1.000734329E3
1.753502367E1,1.000735397E3
1.859508967E1,1.000735397E3
1.965518167E1,1.000735321E3
2.071533567E1,1.000735016E3
2.177549967E1,1.000734787E3
2.283565367E1,1.000734787E3
2.389580367E1,1.000734787E3
2.495599767E1,1.000736771E3
2.601618667E1,1.000736847E3
2.707644767E1,1.000737534E3
2.813670867E1,1.000737534E3
2.919688367E1,1.000736694E3
3.025709267E1,1.000736008E3
3.131720467E1,1.000736008E3
3.237731667E1,1.000736237E3
3.343741267E1,1.000736237E3
3.449752767E1,1.000710678E3
3.555768667E1,1.000671539E3
3.661782067E1,1.000632706E3
3.767793367E1,1.000593491E3
3.873805267E1,1.000556412E3
3.979818467E1,1.000539551E3
4.085832267E1,1.000539474E3
4.191847467E1,1.000539474E3
4.297865067E1,1.000539627E3
4.403884167E1,1.000540161E3
4.509900067E1,1.000542221E3
4.615913567E1,1.000545502E3
4.721923267E1,1.000547256E3
4.827924067E1,1.000548248E3
4.933925867E1,1.000548248E3
5.039934367E1,1.000544815E3
5.145942567E1,1.000544128E3
5.251948967E1,1.000542831E3
5.357962667E1,1.000542755E3
5.463971067E1,1.000542755E3
5.569975867E1,1.000545883E3
5.675983367E1,1.000548172E3
5.781994667E1,1.000549545E3
5.888009067E1,1.000551605E3
5.994024967E1,1.000552521E3
6.100035267E1,1.000553055E3
6.206048767E1,1.000553970E3
6.312061367E1,1.000554886E3
6.418076767E1,1.000555954E3
6.524081767E1,1.000556335E3
6.630086267E1,1.000556793E3
6.736094067E1,1.000556946E3
6.842101067E1,1.000557632E3
6.948110667E1,1.000558090E3
7.054120567E1,1.000558167E3
7.160130167E1,1.000559616E3
7.266140767E1,1.000560379E3
7.372152467E1,1.000561218E3
7.478160567E1,1.000561752E3
