"Time (s)","Pressure (hPa)"
-5.692605000E-1,9.990876007E2
4.576945000E-1,9.990914917E2
1.484702500E0,9.990942383E2
2.511632500E0,9.990953064E2
3.538619500E0,9.991028595E2
3.738863500E0,9.991067505E2
4.798987500E0,9.991081238E2
5.859085500E0,9.991081238E2
6.919227500E0,9.991119385E2
7.979322500E0,9.991119385E2
9.039428500E0,9.991104889E2
1.009950250E1,9.991103363E2
1.115960150E1,9.991103363E2
1.221971450E1,9.991106415E2
1.327976550E1,9.991113281E2
1.433987050E1,9.991117096E2
1.540000250E1,9.991127777E2
1.646011950E1,9.991139221E2
1.752024850E1,9.991139221E2
1.858037650E1,9.991114044E2
1.964047350E1,9.991100311E2
2.070063750E1,9.991089630E2
2.176076950E1,9.991065216E2
2.282087350E1,9.991046906E2
2.388096550E1,9.991045380E2
2.494108950E1,9.991040039E2
2.600115850E1,9.991036224E2
2.706126750E1,9.991036224E2
2.812137050E1,9.991039276E2
2.918147350E1,9.991046906E2
3.024156650E1,9.991046906E2
3.130170250E1,9.991046906E2
3.236183250E1,9.991051483E2
3.342193350E1,9.991056061E2
3.448203750E1,9.991059875E2
3.554214050E1,9.991059875E2
3.660226450E1,9.991056061E2
3.766239250E1,9.991056061E2
3.872260450E1,9.991036987E2
3.978278150E1,9.991028595E2
4.084304250E1,9.991022491E2
4.190324650E1,9.991022491E2
4.296344050E1,9.991041565E2
4.402365550E1,9.991041565E2
4.508389950E1,9.991053009E2
4.614412250E1,9.991039276E2
