"Latest: Time (s)","Latest: Force (N)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)","Run 1: Time (s)","Run 1: Force (N)","Run 1: Velocity (m/s)","Run 1: Acceleration (m/s²)"
0,0.565965442402,,,,0,0.440690710639,,
0.01,0.543461846282,0.29841,0.462811805556,6.73349228395,0.01,0.440690710639,,
0.02,0.513457051456,,,,0.02,0.448191909345,,
0.03,0.490953455337,,,,0.03,0.455693108051,,
0.04,0.445946263098,,,,0.04,0.470695505464,,
0.05,0.423442666979,0.295666,0.901327777778,1.28596879823,0.05,0.478196704171,,
0.06,0.385936673447,,,,0.06,0.493199101584,,
0.07,0.363433077327,,,,0.07,0.515702697703,,
0.08,0.348430679915,,,,0.08,0.530705095116,,
0.09,0.333428282502,0.388276,0.833132708333,-5.46264221644,0.09,0.530705095116,,
0.1,0.310924686382,,,,0.1,0.530705095116,,
0.11,0.295922288969,,,,0.11,0.530705095116,,
0.12,0.27341869285,,,,0.12,0.530705095116,,
0.13,0.265917494144,0.3867325,0.253319791667,-7.74872993827,0.13,0.538206293822,,
0.14,0.250915096731,,,,0.14,0.545707492529,,
0.15,0.258416295437,,,,0.15,0.553208691235,,
0.16,0.27341869285,,,,0.16,0.560709889942,,
0.17,0.280919891557,0.388962,0.0340618055556,-5.85347960069,0.17,0.545707492529,,
0.18,0.295922288969,,,,0.18,0.52320389641,,
0.19,0.310924686382,,,,0.19,0.515702697703,,
0.2,0.318425885089,,,,0.2,0.50070030029,,
0.21,0.340929481208,0.3887905,-0.160423958333,-4.21078153935,0.21,0.493199101584,,
0.22,0.355931878621,,,,0.22,0.493199101584,,
0.23,0.37843547474,,,,0.23,0.493199101584,,
0.24,0.408440269566,,,,0.24,0.485697902877,,
0.25,0.453447461805,0.377643,-0.318465972222,-2.0077806713,0.25,0.463194306758,,
0.26,0.475951057924,,,,0.26,0.433189511932,,
0.27,0.498454654044,,,,0.27,0.418187114519,,
0.28,0.520958250163,,,,0.28,0.410685915813,,
0.29,0.550963044989,0.358092,-0.349193055556,0.625012297454,0.29,0.403184717106,,
0.3,0.580967839815,,,,0.3,0.3956835184,,
0.31,0.618473833347,,,,0.31,0.3956835184,,
0.32,0.640602369531,,,,0.32,0.3956835184,,
0.33,0.670607164357,0.345058,-0.250104166667,2.75892023534,0.33,0.365678723574,,
0.34,0.68560956177,,,,0.34,0.343175127455,,
0.35,0.700611959182,,,,0.35,0.343175127455,,
0.36,0.708113157889,,,,0.36,0.343175127455,,
0.37,0.715614356595,0.33614,-0.0864645833333,3.70590856481,0.37,0.343175127455,,
0.38,0.715614356595,,,,0.38,0.358177524868,,
0.39,0.730616754008,,,,0.39,0.358177524868,,
0.4,0.723115555302,,,,0.4,0.365678723574,,
0.41,0.715614356595,0.3373405,0.0969451388889,3.2328279321,0.41,0.365678723574,,
0.42,0.708113157889,,,,0.42,0.358177524868,,
0.43,0.68560956177,,,,0.43,0.365678723574,,
0.44,0.66310596565,,,,0.44,0.373179922281,,
0.45,0.640602369531,0.347116,0.201631597222,1.85593171296,0.45,0.3956835184,,
0.46,0.61097263464,,,,0.46,0.410685915813,,
0.47,0.595970237227,,,,0.47,0.425688313226,,
0.48,0.573466641108,,,,0.48,0.440690710639,,
0.49,0.543461846282,0.3555195,0.242124652778,0.401126060957,0.49,0.448191909345,,
0.5,0.520958250163,,,,0.5,0.448191909345,,
0.51,0.483452256631,,,,0.51,0.463194306758,,
0.52,0.445946263098,,,,0.52,0.478196704171,,
0.53,0.408440269566,0.3675245,0.236527083333,-1.08800274884,0.53,0.50070030029,,
0.54,0.385936673447,,,,0.54,0.515702697703,,
0.55,0.363433077327,,,,0.55,0.508201498997,,
0.56,0.348430679915,,,,0.56,0.50070030029,,
0.57,0.325927083795,0.377643,0.146846875,-2.26607277199,0.57,0.455693108051,,
0.58,0.295922288969,,,,0.58,0.425688313226,,
0.59,0.280919891557,,,,0.59,0.418187114519,,
0.6,0.265917494144,,,,0.6,0.418187114519,,
0.61,0.250915096731,0.3802155,0.0273923611111,-2.68861979167,0.61,0.433189511932,,
0.62,0.243413898024,,,,0.62,0.455693108051,,
0.63,0.250915096731,,,,0.63,0.448191909345,,
0.64,0.265917494144,,,,0.64,0.425688313226,,
0.65,0.27341869285,0.3795295,-0.0895611111111,-2.46299672068,0.65,0.388182319693,,
0.66,0.280919891557,,,,0.66,0.380681120987,,
0.67,0.280919891557,,,,0.67,0.373179922281,,
0.68,0.295922288969,,,,0.68,0.373179922281,,
0.69,0.318425885089,0.3723265,-0.184243402778,-1.73286458333,0.69,0.403184717106,,
0.7,0.348430679915,,,,0.7,0.433189511932,,
0.71,0.370934276034,,,,0.71,0.425688313226,,
0.72,0.408440269566,,,,0.72,0.388182319693,,
0.73,0.438445064392,0.36358,-0.239504513889,-0.621207802855,0.73,0.365678723574,,
0.74,0.475951057924,,,,0.74,0.373179922281,,
0.75,0.490953455337,,,,0.75,0.388182319693,,
0.76,0.513457051456,,,,0.76,0.3956835184,,
0.77,0.543461846282,0.3517465,-0.246412152778,0.831447482639,0.77,0.425688313226,,
0.78,0.573466641108,,,,0.78,0.463194306758,,
0.79,0.61097263464,,,,0.79,0.455693108051,,
0.8,0.640602369531,,,,0.8,0.418187114519,,
0.81,0.670607164357,0.341285,-0.177573958333,2.35605733989,0.81,0.380681120987,,
0.82,0.68560956177,,,,0.82,0.388182319693,,
0.83,0.693110760476,,,,0.83,0.410685915813,,
0.84,0.708113157889,,,,0.84,0.425688313226,,
0.85,0.715614356595,0.3352825,-0.0435895833333,3.42338348765,0.85,0.470695505464,,
0.86,0.730616754008,,,,0.86,0.508201498997,,
0.87,0.738117952715,,,,0.87,0.485697902877,,
0.88,0.738117952715,,,,0.88,0.455693108051,,
0.89,0.730616754008,0.336483,0.128386805556,3.51493947724,0.89,0.418187114519,,
0.9,0.715614356595,,,,0.9,0.433189511932,,
0.91,0.68560956177,,,,0.91,0.463194306758,,
0.92,0.670607164357,,,,0.92,0.463194306758,,
0.93,0.655604766944,0.346087,0.279402083333,2.37971137153,0.93,0.50070030029,,
0.94,0.625975032053,,,,0.94,0.530705095116,,
0.95,0.618473833347,,,,0.95,0.52320389641,,
0.96,0.588469038521,,,,0.96,0.470695505464,,
0.97,0.550963044989,0.3610075,0.359078125,0.201803626543,0.97,0.455693108051,,
0.98,0.513457051456,,,,0.98,0.478196704171,,
0.99,0.483452256631,,,,0.99,0.50070030029,,
1,0.445946263098,,,,1,0.515702697703,,
1.01,0.423442666979,0.3802155,0.298219444444,-2.01654755015,1.01,0.560709889942,,
1.02,0.393437872153,,,,1.02,0.568211088648,,
1.03,0.37843547474,,,,1.03,0.553208691235,,
1.04,0.363433077327,,,,1.04,0.493199101584,,
1.05,0.325927083795,0.3881045,0.147561458333,-3.00852816358,1.05,0.470695505464,,
1.06,0.303423487676,,,,1.06,0.485697902877,,
1.07,0.280919891557,,,,1.07,0.50070030029,,
1.08,0.265917494144,,,,1.08,0.515702697703,,
1.09,0.258416295437,0.390334,0.0201274305556,-2.94269386574,1.09,0.545707492529,,
1.1,0.258416295437,,,,1.1,0.538206293822,,
1.11,0.265917494144,,,,1.11,0.508201498997,,
1.12,0.27341869285,,,,1.12,0.440690710639,,
1.13,0.27341869285,0.389305,-0.0939677083333,-2.50038001543,1.13,0.410685915813,,
1.14,0.280919891557,,,,1.14,0.440690710639,,
1.15,0.288421090263,,,,1.15,0.448191909345,,
1.16,0.303423487676,,,,1.16,0.448191909345,,
1.17,0.318425885089,0.3826165,-0.190912847222,-1.72012779707,1.17,0.455693108051,,
1.18,0.348430679915,,,,1.18,0.470695505464,,
1.19,0.385936673447,,,,1.19,0.433189511932,,
1.2,0.408440269566,,,,1.2,0.358177524868,,
1.21,0.430943865686,0.3719835,-0.237241666667,-0.745929060571,1.21,0.335673928748,,
1.22,0.453447461805,,,,1.22,0.373179922281,,
1.23,0.490953455337,,,,1.23,0.388182319693,,
1.24,0.520958250163,,,,1.24,0.418187114519,,
1.25,0.550963044989,0.3627225,-0.248555902778,0.290216772762,1.25,0.440690710639,,
1.26,0.580967839815,,,,1.26,0.440690710639,,
1.27,0.61097263464,,,,1.27,0.410685915813,,
1.28,0.63347623076,,,,1.28,0.365678723574,,
1.29,0.655604766944,0.351918,-0.233906944444,1.75196976273,1.29,0.350676326161,,
1.3,0.670607164357,,,,1.3,0.3956835184,,
1.31,0.678108363063,,,,1.31,0.410685915813,,
1.32,0.700611959182,,,,1.32,0.440690710639,,
1.33,0.715614356595,0.339913,-0.115405208333,3.22943696952,1.33,0.463194306758,,
1.34,0.730616754008,,,,1.34,0.478196704171,,
1.35,0.738117952715,,,,1.35,0.440690710639,,
1.36,0.730616754008,,,,1.36,0.3956835184,,
1.37,0.715614356595,0.3400845,0.0674090277778,3.56811969522,1.37,0.3956835184,,
1.38,0.700611959182,,,,1.38,0.425688313226,,
1.39,0.693110760476,,,,1.39,0.455693108051,,
1.4,0.670607164357,,,,1.4,0.470695505464,,
1.41,0.655604766944,0.346773,0.219615277778,2.52949266975,1.41,0.493199101584,,
1.42,0.63347623076,,,,1.42,0.50070030029,,
1.43,0.61097263464,,,,1.43,0.478196704171,,
1.44,0.588469038521,,,,1.44,0.455693108051,,
1.45,0.558464243695,0.36015,0.296790277778,0.635433304398,1.45,0.463194306758,,
1.46,0.520958250163,,,,1.46,0.52320389641,,
1.47,0.483452256631,,,,1.47,0.553208691235,,
1.48,0.460948660511,,,,1.48,0.568211088648,,
1.49,0.430943865686,0.3733555,0.282260416667,-1.53345944252,1.49,0.590714684768,,
1.5,0.408440269566,,,,1.5,0.598215883474,,
1.51,0.385936673447,,,,1.51,0.575712287355,,
1.52,0.363433077327,,,,1.52,0.538206293822,,
1.53,0.325927083795,0.387247,0.151134375,-3.03896412037,1.53,0.560709889942,,
1.54,0.303423487676,,,,1.54,0.598215883474,,
1.55,0.280919891557,,,,1.55,0.627845618365,,
1.56,0.265917494144,,,,1.56,0.642848015777,,
1.57,0.258416295437,0.386561,-0.0153635416667,-3.14466290509,1.57,0.65785041319,,
1.58,0.265917494144,,,,1.58,0.672852810603,,
1.59,0.265917494144,,,,1.59,0.650349214484,,
1.6,0.258416295437,,,,1.6,0.60571708218,,
1.61,0.258416295437,0.3833025,-0.124932986111,-2.47085382909,1.61,0.627845618365,,
1.62,0.265917494144,,,,1.62,0.65785041319,,
1.63,0.280919891557,,,,1.63,0.68035400931,,
