"Latest: Time (s)","Latest: Force (N)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)","Run 1: Time (s)","Run 1: Force (N)","Run 1: Velocity (m/s)","Run 1: Acceleration (m/s²)"
0,1.32321145182,,,,0,0.440690710639,,
0.01,1.32321145182,0.262052,0.0474006944444,1.08118774113,0.01,0.440690710639,,
0.02,1.32321145182,,,,0.02,0.448191909345,,
0.03,1.31571025311,,,,0.03,0.455693108051,,
0.04,1.31571025311,,,,0.04,0.470695505464,,
0.05,1.31571025311,0.2629095,0.0856904513889,1.21255032311,0.05,0.478196704171,,
0.06,1.31571025311,,,,0.06,0.493199101584,,
0.07,1.31571025311,,,,0.07,0.515702697703,,
0.08,1.3082090544,,,,0.08,0.530705095116,,
0.09,1.28570545829,0.266854,0.141201666667,1.29193192998,0.09,0.530705095116,,
0.1,1.26320186217,,,,0.1,0.530705095116,,
0.11,1.25570066346,,,,0.11,0.530705095116,,
0.12,1.24069826605,,,,0.12,0.530705095116,,
0.13,1.22569586863,0.274057,0.199845138889,1.09942450328,0.13,0.538206293822,,
0.14,1.20319227251,,,,0.14,0.545707492529,,
0.15,1.1881898751,,,,0.15,0.553208691235,,
0.16,1.17318747769,,,,0.16,0.560709889942,,
0.17,1.14318268286,0.2834895,0.242124652778,0.544348741319,0.17,0.545707492529,,
0.18,1.10567668933,,,,0.18,0.52320389641,,
0.19,1.0756718945,,,,0.19,0.515702697703,,
0.2,1.05316829839,,,,0.2,0.50070030029,,
0.21,1.03816590097,0.294294,0.254748958333,-0.289770158179,0.21,0.493199101584,,
0.22,1.00816110615,,,,0.22,0.493199101584,,
0.23,0.985657510028,,,,0.23,0.493199101584,,
0.24,0.970655112615,,,,0.24,0.485697902877,,
0.25,0.940650317789,0.305956,0.215089583333,-1.03655936535,0.25,0.463194306758,,
0.26,0.918146721669,,,,0.26,0.433189511932,,
0.27,0.903144324257,,,,0.27,0.418187114519,,
0.28,0.880640728137,,,,0.28,0.410685915813,,
